index,id,url,#reviewers,#messages,#inline_comments,#unsolved_inline_comments,len_messages,churn,#revisions,#files,duration,len_description,subject categories,subject keywords,description categories,description keywords,subject,description
127918,qt%2Fqtbase~dev~Ic1a7f66389df532acca88ddda37d35d6e7049a53,https://codereview.qt-project.org/91057,4,6,0,0,233,37,3,1,24.2725,207,refactoring/,refactor|,refactoring/,refactor|,Windows plugin: Refactor input context.,Windows plugin: Refactor input context.  - Use static invocation of QGuiApplication methods. - QInputMethod::queryFocusObject().  Task-number: QTBUG-40402 Change-Id: Ic1a7f66389df532acca88ddda37d35d6e7049a53
127952,qt%2Fqtbase~dev~I9748a420a0abeb07cc84f948965b1e0321a95ca2,https://codereview.qt-project.org/90911,7,32,11,0,1401,195,5,3,38.6133333333333,207,refactoring/,refactor|,refactoring/,refactor|,QOpenGLVAO: refactor the helper class and export it,"QOpenGLVAO: refactor the helper class and export it  It is useful in other places, for instance in QtQuick, to avoid duplicating the same resolver logic.  Change-Id: I9748a420a0abeb07cc84f948965b1e0321a95ca2"
128032,qt%2Fqtwebchannel~dev~I15e15b5130f99dc8b39dfbfa8cd3d8b2d34dbbc0,https://codereview.qt-project.org/89964,11,14,0,0,393,108,6,3,325.039166666667,400,refactoring/,refactor|,refactoring/,refactor|,Refactor JavaScript QWebChannel to take an external transport object.,"Refactor JavaScript QWebChannel to take an external transport object.  This assimilates the JavaScript side to the QML/C++ side. We get rid of the automagic WebSocket code. Instead, users pass in the WebSocket from the outside, if they want to use that for communication. In the QtWebKit/QtWebEngine cases, we will pass in our custom IPC objects.  Change-Id: I15e15b5130f99dc8b39dfbfa8cd3d8b2d34dbbc0"
128048,qt%2Fqtwebchannel~dev~Ia8c125a5558507b3cbecf128a46b19fdb013f47b,https://codereview.qt-project.org/89547,11,22,9,0,3135,1097,7,17,478.229722222222,562,refactoring/,refactor|,refactoring/,refactor|,Refactor and streamline API and IPC protocol.,"Refactor and streamline API and IPC protocol.  This patch removes the obsolete API support to send raw messages using a QWebChannel. Instead, it is encouraged to directly use WebSockets or navigator.qt.  By doing so, we can cleanup the code considerably. While at it, the transport API is adapted to work on QJsonObject messages, instead of QStrings. This will allow us to use more efficient formats in e.g. QtWebKit or QtWebEngine. One could also implement a JSONRPC interface using a custom transport then.  Change-Id: Ia8c125a5558507b3cbecf128a46b19fdb013f47b"
128170,qt%2Fqtbase~dev~Ie25fab57f77f5ceb11ced26ab7e7f86739f4c78b,https://codereview.qt-project.org/89502,5,17,7,0,507,134,5,1,452.638611111111,216,refactoring/,refactor|,refactoring/,refactor|,Refactor QString::split functions.,Refactor QString::split functions.  Implementation of the functions were moved to a templatized helper functions that will be used by QString::splitRef in future.  Change-Id: Ie25fab57f77f5ceb11ced26ab7e7f86739f4c78b
128632,qt%2Fqttools~dev~I5173034a02e29f88f8ca6f2b61c0caea6ba71778,https://codereview.qt-project.org/90222,5,6,0,0,194,105,3,1,25.755,516,refactoring/,refactor|,refactoring/,refactor|,androiddeployqt: Refactor findFilesRecursively(),"androiddeployqt: Refactor findFilesRecursively()  Currently, androiddeployqt expects all the detected dependencies to reside inside the Qt installation directory. Once we add support for the qmlimportscanner, however, they can reside in any of the qml import paths. The refactoring prepares the code for this, separating the relative path (the path of the file when it is installed on the device) and the absolute path (the source file).  Task-number: QTBUG-34175 Change-Id: I5173034a02e29f88f8ca6f2b61c0caea6ba71778"
128664,qt%2Fqtbase~dev~Ib6297e37d67b2c0ea251ae054b8ff877af2673a5,https://codereview.qt-project.org/89088,6,14,2,0,1227,875,5,6,432.698611111111,126,refactoring/,refactor|,refactoring/,refactor|,iOS: Refactor qioswindow.mm into quiview.mm and quiview_accessibility.mm,iOS: Refactor qioswindow.mm into quiview.mm and quiview_accessibility.mm  Change-Id: Ib6297e37d67b2c0ea251ae054b8ff877af2673a5
128752,qt%2Fqtquickcontrols~dev~Ib1eec3259d19ffea7aa8c2b76fed4e914f2ce3ec,https://codereview.qt-project.org/90134,5,7,0,0,327,295,2,4,2.47222222222222,216,refactoring/,refactor|,refactoring/,refactor|,TextField: refactor selection handles,TextField: refactor selection handles  Move the selection handles to a private type that can be re-used in SpinBox and editable ComboBox.  Task-number: QTBUG-38934 Change-Id: Ib1eec3259d19ffea7aa8c2b76fed4e914f2ce3ec
128805,qt-creator%2Fqt-creator~3.2~Ief2c880f40948c3bb724196d6e0cfe888b8ece89,https://codereview.qt-project.org/90075,3,6,1,0,184,278,3,7,15.2841666666667,486,refactoring/,refactor|,refactoring/,refactor|,"Core: Refactor handling of ""window state"" actions out of MainWindow","Core: Refactor handling of ""window state"" actions out of MainWindow  Currently the actions for fullscreen, minimize and zoom only apply to the main window, even if a different window is active. Refactor the handling of these actions into a WindowSupport class, and use that instead for the main window. In a second step, this will be used to add the functionality to the corresponding external windows (e.g. help and editor windows)  Change-Id: Ief2c880f40948c3bb724196d6e0cfe888b8ece89"
128986,qbs%2Fqbs~master~I258f97e8411a54e99fa274041f9054ce0703e273,https://codereview.qt-project.org/89851,3,4,0,0,122,63,2,2,0.451944444444444,170,refactoring/,refactor|,refactoring/,refactor|,Refactor BuildGraphLoader::load().,Refactor BuildGraphLoader::load().  Move the code that actually loads the project from a file into its own function.  Change-Id: I258f97e8411a54e99fa274041f9054ce0703e273
129000,qt-creator%2Fqt-creator~master~I785fc103ea7d12e1da4bfdaf1d4664ed83a9989b,https://codereview.qt-project.org/89697,3,8,4,0,308,228,3,4,94.2108333333333,281,refactoring/,refactor|,refactoring/,refactor|,ProjectWizardPage: Refactor code a little,ProjectWizardPage: Refactor code a little  Move functionality from the projectfilewizardextension into the projectwizardpage itself and reduce the size of the context shared between the extension and the page to a bare minimum.  Change-Id: I785fc103ea7d12e1da4bfdaf1d4664ed83a9989b
129077,qt%2Fqtmultimedia~5.3~I9baf6f83e7c69619f20a101921f7865a1c90d5e4,https://codereview.qt-project.org/87794,3,3,0,0,119,2216,2,15,554.283055555556,614,refactoring/,refactor|,refactoring/,refactor|,DirectShow: Refactor camera backend.,DirectShow: Refactor camera backend.  Almost entire rewrite of the camera backend. It doesn't provide new features but is more stable and behave as it should.  - Correctly report camera state and status - Correctly report if the camera is ready to capture - Emit imageExposed() signal - Save captured images in an appropriate directory - Images can be captured even without a viewport - Better error handling  Removed the custom QVideoWidgetControl as it doesn't provide anything more than the QVideoWidget's renderer control fallback.  Task-number: QTBUG-33782 Change-Id: I9baf6f83e7c69619f20a101921f7865a1c90d5e4
129283,qt-creator%2Fqt-creator~3.2~I42d291d8f8c0e76e289e56055044c369e8be8a89,https://codereview.qt-project.org/89305,3,11,3,0,307,156,4,4,46.4825,106,refactoring/,refactor|,refactoring/,refactor|,Core: Refactor file dropping into reusable component,Core: Refactor file dropping into reusable component  Change-Id: I42d291d8f8c0e76e289e56055044c369e8be8a89
129338,qt%2Fqtbase~dev~If8b7f76d48beab470f6cac0bfdeaf56058237e94,https://codereview.qt-project.org/89033,4,11,2,0,422,58,3,1,122.209444444444,207,refactoring/,refactor|,refactoring/,refactor|,Refactor custom/standard color selectors in QColorDialog.,Refactor custom/standard color selectors in QColorDialog.  Introduce an enumeration for the rows/columns and use std::find() to find the matching colors.  Change-Id: If8b7f76d48beab470f6cac0bfdeaf56058237e94
129406,qt%2Fqtbase~5.3~Ic3de2be51305972b096e1ed0a477e341eb5d9404,https://codereview.qt-project.org/87381,3,6,0,0,233,34,3,1,581.506666666667,290,refactoring/,refactor|,refactoring/,refactor|,Android: Refactor exception checking in qjni.,"Android: Refactor exception checking in qjni.  In places where we call java/jni functions that can throw exceptions, we check and clear the exception, if necessary. This change moves the ""checking"" code into a single (private) function.  Change-Id: Ic3de2be51305972b096e1ed0a477e341eb5d9404"
129770,qt-creator%2Fqt-creator~3.2~Ie3816d84ea715691256f757fdd9a7b666fb6c27c,https://codereview.qt-project.org/88929,4,6,3,0,325,18,2,1,0.854444444444444,180,refactoring/,refactor|,refactoring/,refactor|,Refactor text retrieval of the code paster plugin.,Refactor text retrieval of the code paster plugin.  Try to obtain text via ITextEditorDocument.  Task-number: QTCREATORBUG-9669 Change-Id: Ie3816d84ea715691256f757fdd9a7b666fb6c27c
